region,sum_ntl,sum_pop,pop_mil,ntl_pc,ln_ntl_pc
A & N Islands,1141.7185811029947,237255.81568627432,0.23725581568627432,4812.183751114873,8.478906262382724
Andhra Pradesh,403389.44268122513,7.094929009803952E7,70.94929009803953,5685.602239625109,8.645692335424439
Arunachal Pradesh,2629.8976572237775,932004.341176471,0.932004341176471,2821.7654586287144,7.945118017204256
Assam,70773.25689786303,2.3597550686274506E7,23.597550686274506,2999.1780858438087,8.006093558727834
Bihar,92025.38656851197,9.284031829411782E7,92.84031829411782,991.2222217611948,6.898938749112454
Chandigarh,5412.446530200142,552788.6862745099,0.5527886862745098,9791.16733860282,9.18923596627153
Dadra & Nagar Haveli,474.1888707156532,241752.9686274511,0.2417529686274511,1961.4603841593073,7.5814445687386955
Daman & Diu,916.1938712243499,73289.77647058821,0.07328977647058821,12500.977835456028,9.433562147067315
Delhi,60697.99363150147,1.1876979278431365E7,11.876979278431365,5110.558182224771,8.539063910544314
Goa,10530.415878044823,1229167.8078431373,1.2291678078431374,8567.11004864576,9.055685737527128
Gujarat,350573.409950206,4.404641900392158E7,44.046419003921585,7959.180743365162,8.982081351853834
Haryana,255264.82837138048,1.8407660956862733E7,18.40766095686273,13867.314753872237,9.537289893547197
Himachal Pradesh,15844.13027172547,5405107.921568632,5.405107921568632,2931.325424327013,7.983209962977243
Jammu & Kashmir,40797.397044700585,1.1733296074509831E7,11.73329607450983,3477.061925790101,8.153942941970087
Karnataka,199292.68388858097,4.7392264639215685E7,47.39226463921568,4205.173257824701,8.344070774370293
Kerala,105492.68277478915,2.988522496470585E7,29.885224964705852,3529.9276782883494,8.169032661980454
Lakshdweep,26.905410305919204,1807.0549019607845,0.0018070549019607845,14889.094004130644,9.60838427789877
Madhya Pradesh,357968.1949811105,7.056228885882351E7,70.5622888588235,5073.080830715544,8.53170357095356
Maharashtra,606346.8429335079,8.5616658937255E7,85.616658937255,7082.112879198838,8.865327571431981
Manipur,4926.876149837621,1951955.137254903,1.951955137254903,2524.072431688386,7.833628920431751
Meghalaya,3818.226048051168,1883157.7019607858,1.8831577019607857,2027.5657445340591,7.614591211867818
Mizoram,993.797122856299,771695.5529411762,0.7716955529411762,1287.809835198121,7.160698252284208
Nagaland,1799.047989267737,2184908.6235294114,2.1849086235294113,823.3973585410766,6.7134389013407105
Orissa,63425.87278171618,3.334386706666668E7,33.34386706666668,1902.17507330222,7.5507532858210205
Pondicherry,3854.3962073736834,835172.4392156866,0.8351724392156866,4615.090281227863,8.437086709308526
Punjab,285207.9499468929,2.234046638039218E7,22.34046638039218,12766.427750013972,9.454574172227394
Rajasthan,325320.2435806361,4.8686649564706E7,48.686649564705995,6681.918893356502,8.807160484764092
Sikkim,623.9489161265801,464331.737254902,0.464331737254902,1343.756771430969,7.203224531067718
Tamil Nadu,331067.54818459286,5.520164458431372E7,55.20164458431372,5997.421828237887,8.69908496057103
Tripura,7964.719491462063,2862051.419607842,2.862051419607842,2782.870858607211,7.931238356786689
Uttar Pradesh,456844.0549918594,1.5169068420392165E8,151.69068420392165,3011.6816822957453,8.010253900166182
West Bengal,174585.28898686115,7.200822974509802E7,72.00822974509802,2424.51855301645,7.793388248822357
